Term,Category,Reasoning,NLD
Heat Flow,Geological Process,The NLD defines heat flow as a 'transfer of thermal energy' and explicitly calls it a 'process' that modifies geological materials by causing the maturation of source rock.,"Fluxo de Calor é a transferência de energia térmica que se propaga do interior da Terra para a superfície, estabelecendo o gradiente geotérmico de uma bacia sedimentar. No contexto do Pré-Sal, este processo é um parâmetro fundamental na modelagem da maturação da rocha geradora e na consequente geração e migração de hidrocarbonetos. Sua magnitude está diretamente associada à evolução tectônica da margem continental, sendo particularmente elevada durante as fases de rifteamento que originaram as bacias."
Well Correlation,process,"The NLD explicitly defines the term as an 'interpretive process' that unfolds over time to establish equivalence between geological units, which directly aligns with the BFO definition of a process.","Correlação de Poços é um processo interpretativo que estabelece a equivalência e a continuidade lateral de unidades estratigráficas, superfícies geológicas e zonas de reservatório entre diferentes poços. Este processo é fundamental para a construção de modelos geológicos 3D, permitindo a caracterização da arquitetura e da heterogeneidade dos reservatórios carbonáticos do Pré-Sal. A sua acurácia depende da integração de múltiplos dados, como perfis geofísicos, testemunhos, quimioestratigrafia e dados sísmicos amarrados aos poços."
Cross Section,generically dependent continuant,"The NLD defines it as a 'graphical representation' and 'interpretation,' which is a type of informational content or pattern that can be copied, fitting the definition of a generically dependent continuant.","Uma Seção Transversal é uma representação gráfica bidimensional que ilustra a interpretação da arquitetura estratigráfica e estrutural da subsuperfície ao longo de um perfil definido. No contexto do Pré-Sal, ela é uma ferramenta essencial para visualizar a geometria e a relação espacial entre os reservatórios carbonáticos, a camada de sal e as rochas geradoras. Sua construção é baseada na integração de dados sísmicos, perfis de poços e amostras de rocha para definir o modelo geológico do sistema petrolífero."
Geologic Map,generically dependent continuant,"The NLD defines a map as a 'graphical representation' and an 'interpretation', which is a pattern or content that can have multiple copies, fitting the definition of a generically dependent continuant.","Um mapa geológico é uma representação gráfica bidimensional que interpreta e projeta a distribuição espacial de unidades litoestratigráficas e estruturas geológicas em uma superfície de interesse, como o topo de um reservatório carbonático ou a base da camada de sal. Construído a partir da integração de dados sísmicos e de poços, ele é uma ferramenta essencial no Pré-Sal para delinear as geometrias dos elementos do sistema petrolífero e avaliar o risco exploratório."
Structure Map,generically dependent continuant,"The NLD defines it as a 'cartographic representation', which is an informational pattern that can be copied, aligning with the definition of a generically dependent continuant.","Mapa Estrutural é uma representação cartográfica que descreve, por meio de curvas de isoprofundidade, a topografia de uma superfície geológica de interesse, como o topo dos reservatórios carbonáticos do Pré-Sal. Esta ferramenta é essencial para a identificação e o delineamento de trapas estruturais, permitindo a quantificação dos altos onde os hidrocarbonetos podem estar acumulados."
Isopach Map,generically dependent continuant,"The NLD defines this as a 'cartographic representation' that illustrates information (thickness), which aligns with the concept of a shareable pattern or content, like a blueprint or a file.","Mapa Isópaco é uma representação cartográfica que ilustra, por meio de isolinhas, a variação da espessura estratigráfica verdadeira de uma unidade geológica. No contexto do Pré-Sal brasileiro, é uma ferramenta essencial para quantificar o volume de rocha dos reservatórios carbonáticos da Formação Barra Velha e para interpretar a geometria dos sistemas deposicionais lacustres que os originaram. Sua aplicação é crucial para definir os depocentros e estimar o volume de hidrocarbonetos in-place."
Isochore Map,generically dependent continuant,"The term refers to a cartographic representation, which is an information artifact or pattern that can have multiple copies, not a physical geological entity.","Um mapa isocórico é uma representação cartográfica que ilustra a variação da espessura vertical verdadeira de uma unidade geológica. No contexto do Pré-Sal, é uma ferramenta fundamental para o cálculo do volume bruto de rocha (GRV) dos reservatórios carbonáticos e para a interpretação da geometria de sistemas deposicionais, como os bancos de coquinas e as bioconstruções microbianas. Suas linhas de contorno, ou isócoras, conectam pontos de igual espessura, delineando depocentros e áreas de adelgaçamento do intervalo, frequentemente controlados pela tectônica de sal."
Facies Map,generically dependent continuant,"The NLD defines this as a 'cartographic representation' which is an informational pattern or content, fitting the definition of a generically dependent continuant which can be instantiated in multiple copies (e.g., a file, a printout).","Um Mapa de Fácies é uma representação cartográfica que ilustra a distribuição espacial de fácies deposicionais em um intervalo estratigráfico específico. Ele é construído a partir da integração de dados de poços, sísmica e de um modelo deposicional conceitual. No contexto do Pré-Sal, sua principal aplicação é na predição da ocorrência e da qualidade de rochas reservatório carbonáticas, auxiliando na caracterização de reservatórios e no posicionamento de poços."
Paleogeographic Map,generically dependent continuant,"The NLD defines this term as a 'cartographic representation' which is an informational artifact, a pattern or content that can be copied, which is the definition of a generically dependent continuant.","Um Mapa Paleogeográfico é uma representação cartográfica que reconstrói a distribuição de feições geográficas e sistemas deposicionais em um determinado intervalo do tempo geológico. Sua principal aplicação no sistema petrolífero é prever a localização e a geometria de potenciais rochas reservatório e geradoras, interpretando a paleotopografia que controlou sua deposição. A elaboração deste mapa integra dados sísmicos, de poços e de análogos para definir o cenário deposicional de interesse."
Ontology,generically dependent continuant,"The NLD defines an ontology as a formal representation of knowledge and a vocabulary of concepts, which is a pattern or content that can be copied and shared, aligning with the definition of a generically dependent continuant.","Uma ontologia é uma representação formal do conhecimento que estrutura um domínio específico, como o sistema petrolífero do Pré-Sal, ao definir um vocabulário de conceitos, suas propriedades e as relações lógicas entre eles. Este modelo computacional permite a integração de dados geológicos e geofísicos heterogêneos, como sísmica, perfis de poço e testemunhos. Sua finalidade é viabilizar o raciocínio automatizado e a inferência de novas informações para apoiar a exploração e o desenvolvimento de reservatórios."
