Term,NLD
Sericitization,"Sericitização é um processo de alteração hidrotermal que se caracteriza pela substituição de minerais silicáticos, principalmente feldspatos e micas, por um agregado fino de micas brancas (sericita). Este processo é frequentemente associado a zonas de falhas e fraturas no embasamento cristalino subjacente aos reservatórios carbonáticos do Pré-Sal. A intensidade da sericitização impacta diretamente as propriedades geomecânicas e petrofísicas do embasamento, influenciando sua competência e potencial como reservatório fraturado."
Zeolitization,"Zeolitização é um processo diagenético que consiste na formação de minerais do grupo das zeólitas a partir da alteração de materiais precursores, como vidro vulcânico e feldspatos, em rochas siliciclásticas e vulcânicas. No contexto do Pré-Sal brasileiro, este processo é comum nas sequências vulcanoclásticas da fase rifte, onde impacta diretamente as propriedades de reservatório e selo. A reação libera íons para os fluidos intersticiais, como sílica e magnésio, que podem influenciar a diagênese dos reservatórios carbonáticos adjacentes."
Geochronology,"Geocronologia é a disciplina da Geologia que quantifica o tempo geológico através da determinação de idades absolutas para rochas, minerais e eventos, utilizando principalmente métodos radiométricos. Sua aplicação é crucial na exploração de petróleo para calibrar a evolução de bacias sedimentares, como na datação das rochas vulcânicas que restringem a idade das sequências geradoras e reservatórios do Pré-Sal."
Radiometric Dating,"Datação Radiométrica é um método geocronológico que determina a idade absoluta de rochas e minerais com base na taxa de decaimento constante de isótopos radioativos em seus isótopos filhos. No contexto do Pré-Sal, sua aplicação em rochas ígneas associadas ao rifte é fundamental para ancorar o arcabouço cronoestratigráfico, restringindo a idade de deposição dos reservatórios carbonáticos e das rochas geradoras."
Chemostratigraphy,"Quimioestratigrafia é um método estratigráfico que utiliza a variação sistemática de propriedades geoquímicas em rochas sedimentares, como elementos traço e isótopos estáveis, para a correlação e subdivisão de unidades geológicas. No contexto do Pré-Sal brasileiro, esta técnica é fundamental para estabelecer um arcabouço cronoestratigráfico de alta resolução em sucessões carbonáticas lacustres, onde a bioestratigrafia é frequentemente inconclusiva e as fácies exibem alta heterogeneidade. As assinaturas geoquímicas resultantes refletem mudanças paleoambientais, como variações na salinidade do paleolago, sendo cruciais para a predição da arquitetura e qualidade dos reservatórios."
Magnetostratigraphy,"Magnetoestratigrafia é um método estratigráfico que estabelece um arcabouço cronoestratigráfico a partir do registro das inversões de polaridade do campo magnético da Terra preservado em sucessões sedimentares ou vulcânicas. Sua aplicação é fundamental na correlação de alta resolução das sucessões carbonáticas lacustres da fase sag do Pré-Sal, que possuem escasso controle bioestratigráfico. O método permite a calibração de zonas de polaridade magnética locais com a Escala de Tempo de Polaridade Geomagnética (GPTS), refinando o posicionamento temporal dos eventos geológicos."
Biostratigraphy,"Bioestratigrafia é o ramo da estratigrafia que organiza as rochas em unidades com base em seu conteúdo fossilífero para determinar suas idades relativas e correlação. No Pré-Sal brasileiro, esta disciplina é fundamental para o zoneamento e correlação dos reservatórios carbonáticos da sequência Sag, utilizando principalmente microfósseis como ostracodes não-marinhos. A sua aplicação permite a construção de arcabouços cronoestratigráficos de alta resolução, essenciais para a modelagem de sistemas petrolíferos."
Chronostratigraphy,"Cronoestratigrafia é o ramo da estratigrafia que estabelece um arcabouço temporal para o registro rochoso, organizando-o em unidades isócronas que permitem a correlação de sistemas deposicionais entre áreas distintas, independentemente de suas variações litológicas. Este arcabouço é fundamental para a reconstrução da história geológica de uma bacia e para a predição da distribuição de seus elementos do sistema petrolífero."
Lithostratigraphy,"Litoestratigrafia é o ramo da estratigrafia que organiza corpos rochosos em unidades mapeáveis com base em suas características litológicas e em suas relações de superposição. No contexto do Pré-Sal brasileiro, é a principal ferramenta para definir e correlacionar as complexas fácies carbonáticas que constituem os reservatórios, bem como as unidades selantes e geradoras associadas. Este arcabouço litoestratigráfico é a base para a modelagem geológica e a avaliação do potencial exploratório da bacia."
Formation,"Formação é a unidade litoestratigráfica fundamental que define um corpo rochoso mapeável em subsuperfície, caracterizado por litofácies distintivas e que constitui os principais reservatórios do sistema petrolífero do Pré-Sal."
Member,"Membro é uma unidade litoestratigráfica que constitui uma subdivisão formal de uma formação, sendo individualizada por características litológicas, petrofísicas e deposicionais específicas. No contexto do Pré-Sal brasileiro, a definição de membros é fundamental para a correlação de poços e a caracterização de reservatórios carbonáticos heterogêneos. Sua identificação e mapeamento permitem a construção de modelos geológicos de maior previsibilidade."
Group,"Um Grupo é uma unidade litoestratigráfica formal de alta hierarquia que compreende um conjunto de duas ou mais formações com afinidades litogenéticas. No sistema petrolífero do Pré-Sal, esta unidade frequentemente engloba a sucessão de rochas geradoras e reservatórios associadas a uma fase tectono-sedimentar principal, como a fase sag. O Grupo Guaratiba, englobando as formações carbonáticas da fase sag nas bacias de Santos e Campos, constitui o exemplo mais representativo."
Supergroup,"Supergrupo é uma unidade litoestratigráfica de mais alta ordem que agrupa um conjunto de formações e grupos geneticamente relacionados, depositados durante um ciclo tectono-sedimentar maior. No contexto do Pré-sal brasileiro, ele compreende a sucessão sin-rifte e sag, delimitada por discordâncias regionais, que engloba os principais intervalos geradores e os reservatórios carbonáticos lacustres."
Depositional Sequence,"Uma Sequência Deposicional é uma unidade estratigráfica fundamental que compreende uma sucessão de estratos geneticamente relacionados, depositados durante um ciclo completo de variação do nível de base em um sistema lacustre. Seus limites são discordâncias ou suas conformidades correlativas, que no Pré-Sal correspondem frequentemente a superfícies de exposição subaérea com grande impacto na arquitetura e qualidade dos reservatórios carbonáticos."
Genetic Unit,"Unidade Genética é um intervalo estratigráfico que agrupa um conjunto de litofácies carbonáticas e siliciclásticas geneticamente relacionadas, depositadas em resposta a um ciclo de variação do nível de base em um sistema lacustre. Este intervalo é delimitado por superfícies estratigráficas que representam mudanças significativas nas condições deposicionais, como superfícies de inundação ou de exposição subaérea."
Pay Zone,Pay Zone é um intervalo de um reservatório que possui uma combinação de propriedades petrofísicas e saturação de hidrocarbonetos que torna sua produção economicamente viável.
Net Pay,"*Net Pay* é a espessura cumulativa de um reservatório que possui propriedades petrofísicas e saturação de hidrocarbonetos suficientes para produzir óleo e/ou gás de forma economicamente viável. Esta espessura é quantificada pela aplicação de valores de corte (*cutoffs*) para porosidade, permeabilidade, volume de argila e saturação de água. Representa o intervalo que efetivamente contribui para o cálculo de volumes recuperáveis e para a produtividade de um poço."
Net-To-Gross Ratio,"A Relação Líquido/Bruto é um parâmetro adimensional que expressa a razão entre a espessura acumulada de rochas reservatório (líquido) e a espessura total de um intervalo estratigráfico (bruto). A espessura líquida é determinada pela soma dos intervalos que atendem a limiares petrofísicos (cutoffs) predefinidos de porosidade e permeabilidade, que definem a capacidade da rocha de armazenar e fluir hidrocarbonetos. No contexto do Pré-Sal, este indicador é essencial para quantificar a proporção de fácies carbonáticas produtivas, como coquinas e microbialitos, e para a estimativa de volumes recuperáveis."
